Pin Designator,Net Name
1,irq_fast_i[7]
2,VSS
3,irq_fast_i[6]
4,VSS
5,irq_fast_i[5]
6,VSS
7,irq_fast_i[4]
8,VSS
9,irq_fast_i[3]
10,VSS
11,irq_fast_i[2]
12,VSS
13,irq_fast_i[1]
14,VSS
15,irq_fast_i[0]
16,VSS
17,irq_nm_i
18,VSS
19,debug_req_i
20,VSS
21,double_fault_seen_o
22,VSS
23,fetch_enable_i
24,VSS
25,alert_minor_o
26,VSS
27,alert_major_internal_o
28,VSS
29,alert_major_bus_o
30,RESERVED
31,core_sleep_o
32,VSS
33,RESERVED
34,VSS
35,irq_fast_i[8]
36,VSS
37,irq_fast_i[9]
38,VSS
39,irq_fast_i[10]
40,VSS
41,irq_fast_i[11]
42,VSS
43,irq_fast_i[12]
44,VSS
45,irq_fast_i[13]
46,VSS
47,irq_fast_i[14]
48,VSS
49,irq_external_i
50,VSS
51,redundancy_sel_CSR
52,VSS
53,redundancy_sel_WB
54,VSS
55,redundancy_sel_LSU
56,VSS
57,redundancy_sel_EX
58,VSS
59,redundancy_sel_ID
60,RESERVED
61,redundancy_sel_IF
62,VSS
63,scan_en
64,VSS
65,scan_rst_ni
66,VSS
67,RESERVED
68,VSS
