Pin Designator,Net Name
1,instr_err_i
2,VSS
3,VSS
4,VDD
5,serdes_instr_rdata_i[0]
6,VSS
7,serdes_instr_rdata_i[2]
8,serdes_instr_rdata_i[1]
9,serdes_instr_rdata_i[4]
10,serdes_instr_rdata_i[3]
11,serdes_instr_rdata_i[6]
12,serdes_instr_rdata_i[5]
13,serdes_instr_rdata_i[8]
14,serdes_instr_rdata_i[7]
15,serdes_instr_rdata_i[10]
16,serdes_instr_rdata_i[9]
17,VSS
18,VDD
19,serdes_instr_rdata_i[11]
20,VSS
21,serdes_instr_rdata_i[13]
22,serdes_instr_rdata_i[12]
23,serdes_instr_rdata_i[15]
24,serdes_instr_rdata_i[14]
25,serdes_instr_addr_o[1]
26,serdes_instr_addr_o[0]
27,serdes_instr_addr_o[2]
28,VSS
29,serdes_instr_addr_o[4]
30,serdes_instr_addr_o[3]
31,slow_clk_i
32,serdes_instr_addr_o[5]
