Pin Designator,Net Name
1,serdes_data_rdata_i[11]
2,serdes_data_rdata_i[12]
3,serdes_data_rdata_i[9]
4,serdes_data_rdata_i[10]
5,serdes_data_rdata_i[7]
6,serdes_data_rdata_i[8]
7,VSS
8,VDD
9,serdes_data_rdata_i[6]
10,VSS
11,serdes_data_rdata_i[4]
12,serdes_data_rdata_i[5]
13,serdes_data_rdata_i[2]
14,serdes_data_rdata_i[3]
15,VSS
16,serdes_data_rdata_i[1]
17,data_err_i
18,serdes_data_rdata_i[0]
19,VSS
20,irq_software_i
21,VSS
22,VDD
23,irq_external_i
24,irq_timer_i
25,irq_fast_i[13]
26,irq_fast_i[14]
27,VSS
28,irq_fast_i[12]
29,irq_fast_i[10]
30,irq_fast_i[11]
31,irq_fast_i[8]
32,irq_fast_i[9]
