Pin Designator,Net Name
1,VSS
2,VDD
3,VSS
4,VSS
5,serdes_data_wdata_o[15]
6,serdes_data_addr_o[0]
7,serdes_data_addr_o[1]
8,serdes_data_addr_o[2]
9,serdes_data_addr_o[3]
10,serdes_data_addr_o[4]
11,serdes_data_addr_o[5]
12,serdes_data_addr_o[6]
13,serdes_data_addr_o[7]
14,serdes_data_addr_o[8]
15,serdes_data_addr_o[9]
16,serdes_data_addr_o[10]
17,VSS
18,serdes_data_addr_o[11]
19,serdes_data_addr_o[12]
20,serdes_data_addr_o[13]
21,serdes_data_addr_o[14]
22,serdes_data_addr_o[15]
23,serdes_data_be_o[0]
24,serdes_data_be_o[1]
25,data_we_o
26,data_rvalid_i
27,data_gnt_i
28,data_req_o
29,VSS
30,VSS
31,VSS
32,VDD
