Pin Designator,Net Name
1,data_err_i
2,VSS
3,scan_in_cs_r
4,VSS
5,boot_addr_serial_in
6,VSS
7,alert_major_internal_o
8,VSS
9,data_req_o
10,VSS
11,data_rvalid_i
12,VSS
13,data_we_o
14,VSS
15,serdes_data_be_o[1]
16,VSS
17,serdes_data_be_o[0]
18,VSS
19,data_wdata_integ_o[6]
20,VSS
21,data_wdata_integ_o[5]
22,VSS
23,data_wdata_integ_o[4]
24,VSS
25,data_wdata_integ_o[3]
26,VSS
27,data_wdata_integ_o[2]
28,VSS
29,data_wdata_integ_o[1]
30,
31,data_wdata_integ_o[0]
32,VSS
33,
34,VSS
35,irq_software_i
36,VSS
37,irq_timer_i
38,VSS
39,irq_external_i
40,VSS
41,irq_nm_i
42,VSS
43,debug_req_i
44,VSS
45,double_fault_seen_o
46,VSS
47,fetch_enable_i
48,VSS
49,alert_minor_o
50,VSS
51,core_sleep_o
52,VSS
53,scan_rst_ni
54,VSS
55,scan_en
56,VSS
57,redundancy_sel_IF
58,VSS
59,redundancy_sel_ID
60,
61,redundancy_sel_EX
62,VSS
63,redundancy_sel_LSU
64,
65,redundancy_sel_WB
66,VSS
67,
68,VSS
